Date,Close/Last,Volume,Open,High,Low
08/11/2015,2292.69,--,2316.57,2316.61,2281.57
08/10/2015,2334.93,--,2309.64,2337.80,2309.23
08/07/2015,2293.38,--,2283.36,2295.73,2277.07
08/06/2015,2285.47,--,2317.34,2319.01,2277.80
08/05/2015,2313.84,--,2301.70,2326.26,2301.67
08/04/2015,2288.80,--,2291.86,2299.97,2278.55
08/03/2015,2297.10,--,2301.30,2304.04,2282.40
07/31/2015,2298.79,--,2316.14,2316.14,2296.44
07/30/2015,2312.18,--,2295.32,2318.32,2287.63
07/29/2015,2295.18,--,2275.32,2298.15,2267.00
07/28/2015,2279.94,--,2256.50,2286.13,2238.23
07/27/2015,2257.47,--,2264.00,2273.09,2252.02
07/24/2015,2280.63,--,2317.88,2317.96,2276.13
07/23/2015,2311.60,--,2302.91,2334.98,2302.80
07/22/2015,2294.61,--,2287.01,2299.56,2282.69
07/21/2015,2317.47,--,2314.91,2328.12,2312.90
07/20/2015,2314.05,--,2325.24,2325.43,2312.43
07/17/2015,2321.69,--,2314.84,2322.86,2310.05
07/16/2015,2309.52,--,2308.59,2309.55,2295.34
07/15/2015,2303.06,--,2310.88,2313.37,2296.41
07/14/2015,2312.03,--,2304.33,2318.59,2302.06
07/13/2015,2294.04,--,2281.76,2298.13,2275.07
07/10/2015,2266.21,--,2266.28,2273.53,2254.08
07/09/2015,2241.22,--,2282.27,2286.32,2241.22
07/08/2015,2249.94,--,2267.16,2272.44,2246.25
07/07/2015,2289.70,--,2283.81,2294.75,2235.38
07/06/2015,2286.32,--,2289.00,2308.31,2277.43
07/03/2015,2311.27,--,0.00,0.00,0.00
07/02/2015,2311.27,--,2312.69,2315.02,2301.74
07/01/2015,2307.60,--,2318.80,2324.91,2300.26
06/30/2015,2298.79,--,2316.46,2316.86,2294.37
06/29/2015,2299.47,--,2324.25,2339.89,2298.12
06/26/2015,2355.89,--,2376.37,2381.66,2347.53
06/25/2015,2394.83,--,2410.20,2411.49,2390.64
06/24/2015,2403.15,--,2419.28,2422.38,2401.63
06/23/2015,2423.35,--,2435.76,2436.28,2417.70
06/22/2015,2431.10,--,2427.49,2434.60,2421.83
06/19/2015,2414.77,--,2431.52,2431.55,2410.02
06/18/2015,2428.04,--,2406.36,2434.15,2406.28
06/17/2015,2399.09,--,2399.41,2407.51,2387.08
06/16/2015,2394.76,--,2379.73,2398.20,2379.17
06/15/2015,2385.13,--,2377.87,2387.47,2366.26
06/12/2015,2400.46,--,2406.83,2413.10,2397.86
06/11/2015,2419.08,--,2427.80,2430.87,2417.31
06/10/2015,2418.52,--,2396.84,2424.32,2393.74
06/09/2015,2384.79,--,2386.54,2391.08,2368.23
06/08/2015,2391.11,--,2425.26,2426.02,2386.97
06/05/2015,2426.43,--,2421.64,2431.99,2407.39
06/04/2015,2424.85,--,2435.51,2445.05,2419.30
06/03/2015,2446.51,--,2458.73,2463.68,2444.85
